location,bhk,bath,total_sqft,encoded_loc,price
Electronic City Phase II,2,2,1056.0,416,39.07
Chikka Tirupathi,4,5,2600.0,314,120.0
Uttarahalli,3,2,1440.0,1174,62.0
Lingadheeranahalli,3,3,1521.0,754,95.0
Kothanur,2,2,1200.0,713,51.0
Whitefield,2,2,1170.0,1247,38.0
Old Airport Road,4,4,2732.0,890,204.0
Rajaji Nagar,4,4,3300.0,971,600.0
Marathahalli,3,3,1310.0,796,63.25
Gandhi Bazar,6,6,1020.0,431,370.0
Whitefield,3,2,1800.0,1247,70.0
Whitefield,4,5,2785.0,1247,295.0
7th Phase JP Nagar,2,2,1000.0,70,38.0
Gottigere,2,2,1100.0,463,40.0
Sarjapur,3,3,2250.0,1033,148.0
Mysore Road,2,2,1175.0,833,73.5
Bisuvanahalli,3,3,1180.0,266,48.0
Raja Rajeshwari Nagar,3,3,1540.0,967,60.0
Ramakrishnappa Layout,3,4,2770.0,983,290.0
Manayata Tech Park,2,2,1100.0,785,48.0
Kengeri,1,1,600.0,685,15.0
Binny Pete,3,3,1755.0,265,122.0
Thanisandra,4,5,2800.0,1143,380.0
Bellandur,3,3,1767.0,234,103.0
 Thanisandra,1,1,510.0,10,25.25
Mangammanapalya,3,3,1250.0,786,56.0
Electronic City,2,1,660.0,414,23.1
Whitefield,3,3,1610.0,1247,81.0
Ramagondanahalli,2,2,1151.0,982,48.77
Electronic City,3,2,1025.0,414,47.0
Yelahanka,4,4,2475.0,1256,186.0
Bisuvanahalli,3,2,1075.0,266,35.0
Hebbal,3,2,1760.0,510,123.0
Raja Rajeshwari Nagar,3,3,1693.0,967,57.39
Kasturi Nagar,3,3,1925.0,670,125.0
Kanakpura Road,2,2,700.0,661,36.0
Electronics City Phase 1,2,2,1070.0,419,45.5
Kundalahalli,3,3,1724.0,728,125.0
Chikkalasandra,3,2,1290.0,323,56.12
Uttarahalli,2,2,1143.0,1174,45.0
Murugeshpalya,2,2,1296.0,829,81.0
Sarjapur  Road,3,3,1254.0,1034,38.0
Ganga Nagar,1,1,600.0,434,38.0
Yelahanka,1,1,660.0,1256,48.0
Kanakpura Road,2,2,1330.74,661,91.79
HSR Layout,8,9,600.0,491,200.0
Doddathoguru,2,2,970.0,393,33.0
Whitefield,2,2,1459.0,1247,94.82
KR Puram,2,1,800.0,623,130.0
Himagiri Meadows,2,2,869.0,523,36.0
Adarsh Nagar,2,2,1270.0,87,50.0
Bhoganhalli,3,3,1670.0,250,99.0
Whitefield,3,3,2010.0,1247,91.0
Lakshminarayana Pura,2,2,1185.0,742,75.0
Yelahanka,3,2,1600.0,1256,75.0
Begur Road,2,2,1200.0,230,44.0
Devanahalli,4,2,3210.0,362,192.0
Ramakrishnappa Layout,2,2,1500.0,983,185.0
Murugeshpalya,6,4,1407.0,829,150.0
Govindaraja Nagar Ward,2,2,840.0,465,45.0
Tharabanahalli,3,3,4395.0,1146,240.0
Ganga Nagar,2,2,845.0,434,55.0
Whitefield,4,5,5700.0,1247,650.0
Varthur,2,2,1160.0,1185,44.0
Bommanahalli,8,8,3000.0,267,140.0
Doddathoguru,2,2,1100.0,393,62.0
Gunjur,2,2,1140.0,481,43.0
Marathahalli,2,2,1220.0,796,57.0
Devarachikkanahalli,8,7,1350.0,368,85.0
Kanakpura Road,2,2,1005.0,661,36.68
Double Road,3,3,500.0,404,100.0
Begur Road,2,2,1358.0,230,80.58
Hegde Nagar,3,3,1569.0,512,101.0
Haralur Road,2,2,1240.0,503,70.0
Hennur Road,3,3,2089.0,519,140.0
Kothannur,2,2,1206.0,712,48.23
Kalena Agrahara,2,2,1150.0,638,40.0
Cholanayakanahalli,3,3,2511.0,332,205.0
Kaval Byrasandra,2,1,460.0,675,22.0
ISRO Layout,6,6,4400.0,551,250.0
Kodanda Reddy Layout,3,2,1660.0,696,105.0
Hennur Road,4,2,3203.5,519,224.5
Yelahanka,2,2,1326.0,1256,78.0
Garudachar Palya,3,2,1325.0,440,60.8
EPIP Zone,3,5,1499.0,412,102.0
Hegde Nagar,6,7,3000.0,512,210.0
Kanakpura Road,3,3,1665.0,661,88.0
Dasanapura,2,2,708.0,355,37.0
Kasavanhalli,2,2,1060.0,667,58.06
Rajaji Nagar,6,6,710.0,971,160.0
Sanjay nagar,2,2,1000.0,1028,70.0
Electronic City,2,2,1000.0,414,28.88
 Mysore Highway,3,2,1450.0,7,70.0
